27/02/2009 15:12:50 Slazher tira oro. Cercanos: Slazher,
05/03/2009 16:06:22 05/03/2009 Fx paso a nivel 41 gano HP: 4
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 23 gano HP: 10
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 24 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 25 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 26 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 27 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 28 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 29 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 30 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 31 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 32 gano HP: 10
10/01/2014 12:21:13 a.m. 10/01/2014 GIOSACA paso a nivel 33 gano HP: 9
10/01/2014 12:21:13 a.m. 10/01/2014 GIOSACA paso a nivel 34 gano HP: 9
10/01/2014 12:21:13 a.m. 10/01/2014 GIOSACA paso a nivel 35 gano HP: 8
10/01/2014 12:21:13 a.m. 10/01/2014 GIOSACA paso a nivel 36 gano HP: 8
10/01/2014 12:21:20 a.m. 10/01/2014 GIOSACA paso a nivel 37 gano HP: 6
10/01/2014 12:21:20 a.m. 10/01/2014 GIOSACA paso a nivel 38 gano HP: 6
10/01/2014 12:21:26 a.m. 10/01/2014 GIOSACA paso a nivel 39 gano HP: 6
10/01/2014 12:21:26 a.m. 10/01/2014 GIOSACA paso a nivel 40 gano HP: 8
10/01/2014 12:21:31 a.m. 10/01/2014 GIOSACA paso a nivel 41 gano HP: 6
10/01/2014 12:21:36 a.m. 10/01/2014 GIOSACA paso a nivel 42 gano HP: 8
10/01/2014 12:21:44 a.m. 10/01/2014 GIOSACA paso a nivel 43 gano HP: 7
10/01/2014 12:21:50 a.m. 10/01/2014 GIOSACA paso a nivel 44 gano HP: 8
10/01/2014 02:02:19 p.m. 10/01/2014 GIOSACA paso a nivel 45 gano HP: 10
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 2 gano HP: 4
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 3 gano HP: 5
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 4 gano HP: 7
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 5 gano HP: 4
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 6 gano HP: 6
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 7 gano HP: 6
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 8 gano HP: 4
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 9 gano HP: 7
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 10 gano HP: 6
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 11 gano HP: 4
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 12 gano HP: 4
11/01/2014 12:34:06 a.m. 11/01/2014 SLAY paso a nivel 13 gano HP: 8
11/01/2014 12:34:09 a.m. 11/01/2014 SLAY paso a nivel 14 gano HP: 6
11/01/2014 12:34:09 a.m. 11/01/2014 SLAY paso a nivel 15 gano HP: 4
11/01/2014 12:34:09 a.m. 11/01/2014 SLAY paso a nivel 16 gano HP: 5
11/01/2014 12:34:09 a.m. 11/01/2014 SLAY paso a nivel 17 gano HP: 5
11/01/2014 12:34:09 a.m. 11/01/2014 SLAY paso a nivel 18 gano HP: 6
11/01/2014 12:34:09 a.m. 11/01/2014 SLAY paso a nivel 19 gano HP: 4
11/01/2014 12:34:11 a.m. 11/01/2014 SLAY paso a nivel 20 gano HP: 4
11/01/2014 12:34:11 a.m. 11/01/2014 SLAY paso a nivel 21 gano HP: 7
11/01/2014 12:34:11 a.m. 11/01/2014 SLAY paso a nivel 22 gano HP: 5
11/01/2014 12:34:11 a.m. 11/01/2014 SLAY paso a nivel 23 gano HP: 8
11/01/2014 12:34:14 a.m. 11/01/2014 SLAY paso a nivel 24 gano HP: 4
11/01/2014 12:34:18 a.m. 11/01/2014 SLAY paso a nivel 25 gano HP: 6
11/01/2014 12:34:18 a.m. 11/01/2014 SLAY paso a nivel 26 gano HP: 6
11/01/2014 12:34:22 a.m. 11/01/2014 SLAY paso a nivel 27 gano HP: 6
11/01/2014 12:34:22 a.m. 11/01/2014 SLAY paso a nivel 28 gano HP: 6
11/01/2014 12:34:22 a.m. 11/01/2014 SLAY paso a nivel 29 gano HP: 7
11/01/2014 12:34:22 a.m. 11/01/2014 SLAY paso a nivel 30 gano HP: 8
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 2 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 3 gano HP: 9
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 4 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 5 gano HP: 8
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 6 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 7 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 8 gano HP: 5
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 9 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 10 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 11 gano HP: 8
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 12 gano HP: 5
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 13 gano HP: 5
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 14 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 15 gano HP: 7
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 16 gano HP: 6
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 17 gano HP: 8
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 18 gano HP: 9
11/01/2014 02:44:49 p.m. 11/01/2014 GIOSACA paso a nivel 19 gano HP: 6
11/01/2014 02:44:53 p.m. 11/01/2014 GIOSACA paso a nivel 20 gano HP: 5
11/01/2014 02:44:53 p.m. 11/01/2014 GIOSACA paso a nivel 21 gano HP: 7
11/01/2014 02:44:55 p.m. 11/01/2014 GIOSACA paso a nivel 22 gano HP: 9
11/01/2014 02:44:55 p.m. 11/01/2014 GIOSACA paso a nivel 23 gano HP: 8
11/01/2014 02:44:57 p.m. 11/01/2014 GIOSACA paso a nivel 24 gano HP: 8
11/01/2014 02:45:01 p.m. 11/01/2014 GIOSACA paso a nivel 25 gano HP: 7
11/01/2014 02:45:01 p.m. 11/01/2014 GIOSACA paso a nivel 26 gano HP: 9
11/01/2014 02:45:04 p.m. 11/01/2014 GIOSACA paso a nivel 27 gano HP: 8
11/01/2014 02:45:43 p.m. 11/01/2014 GIOSACA paso a nivel 28 gano HP: 5
11/01/2014 02:45:43 p.m. 11/01/2014 GIOSACA paso a nivel 29 gano HP: 7
11/01/2014 02:45:43 p.m. 11/01/2014 GIOSACA paso a nivel 30 gano HP: 7
11/01/2014 02:45:43 p.m. 11/01/2014 GIOSACA paso a nivel 31 gano HP: 6
11/01/2014 02:45:43 p.m. 11/01/2014 GIOSACA paso a nivel 32 gano HP: 6
11/01/2014 02:45:53 p.m. 11/01/2014 GIOSACA paso a nivel 33 gano HP: 7
11/01/2014 02:45:55 p.m. 11/01/2014 GIOSACA paso a nivel 34 gano HP: 6
11/01/2014 02:45:55 p.m. 11/01/2014 GIOSACA paso a nivel 35 gano HP: 5
11/01/2014 02:45:55 p.m. 11/01/2014 GIOSACA paso a nivel 36 gano HP: 9
11/01/2014 02:45:57 p.m. 11/01/2014 GIOSACA paso a nivel 37 gano HP: 8
11/01/2014 02:45:57 p.m. 11/01/2014 GIOSACA paso a nivel 38 gano HP: 6
11/01/2014 02:45:58 p.m. 11/01/2014 GIOSACA paso a nivel 39 gano HP: 5
11/01/2014 02:45:58 p.m. 11/01/2014 GIOSACA paso a nivel 40 gano HP: 6
11/01/2014 02:46:00 p.m. 11/01/2014 GIOSACA paso a nivel 41 gano HP: 5
11/01/2014 02:46:01 p.m. 11/01/2014 GIOSACA paso a nivel 42 gano HP: 6
11/01/2014 02:46:02 p.m. 11/01/2014 GIOSACA paso a nivel 43 gano HP: 5
11/01/2014 02:46:04 p.m. 11/01/2014 GIOSACA paso a nivel 44 gano HP: 8
11/01/2014 02:46:07 p.m. 11/01/2014 GIOSACA paso a nivel 45 gano HP: 5
11/01/2014 02:46:18 p.m. 11/01/2014 GIOSACA paso a nivel 46 gano HP: 7
11/01/2014 02:46:25 p.m. 11/01/2014 GIOSACA paso a nivel 47 gano HP: 8
11/01/2014 02:46:52 p.m. 11/01/2014 GIOSACA paso a nivel 48 gano HP: 9
11/01/2014 02:47:06 p.m. 11/01/2014 GIOSACA paso a nivel 49 gano HP: 8
11/01/2014 02:47:14 p.m. 11/01/2014 GIOSACA paso a nivel 50 gano HP: 6
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 2 gano HP: 8
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 3 gano HP: 5
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 4 gano HP: 9
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 5 gano HP: 7
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 6 gano HP: 7
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 7 gano HP: 7
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 8 gano HP: 6
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 9 gano HP: 7
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 10 gano HP: 5
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 11 gano HP: 7
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 12 gano HP: 8
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 13 gano HP: 9
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 14 gano HP: 7
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 15 gano HP: 7
11/01/2014 02:55:12 p.m. 11/01/2014 SHAKES paso a nivel 16 gano HP: 5
11/01/2014 02:55:16 p.m. 11/01/2014 SHAKES paso a nivel 17 gano HP: 5
11/01/2014 02:55:16 p.m. 11/01/2014 SHAKES paso a nivel 18 gano HP: 7
11/01/2014 02:55:16 p.m. 11/01/2014 SHAKES paso a nivel 19 gano HP: 6
11/01/2014 02:55:22 p.m. 11/01/2014 SHAKES paso a nivel 20 gano HP: 9
11/01/2014 02:55:22 p.m. 11/01/2014 SHAKES paso a nivel 21 gano HP: 6
11/01/2014 02:55:22 p.m. 11/01/2014 SHAKES paso a nivel 22 gano HP: 6
11/01/2014 02:55:31 p.m. 11/01/2014 SHAKES paso a nivel 23 gano HP: 9
11/01/2014 02:55:33 p.m. 11/01/2014 SHAKES paso a nivel 24 gano HP: 7
11/01/2014 02:55:33 p.m. 11/01/2014 SHAKES paso a nivel 25 gano HP: 8
11/01/2014 02:55:36 p.m. 11/01/2014 SHAKES paso a nivel 26 gano HP: 9
11/01/2014 02:55:41 p.m. 11/01/2014 SHAKES paso a nivel 27 gano HP: 5
11/01/2014 02:55:44 p.m. 11/01/2014 SHAKES paso a nivel 28 gano HP: 6
11/01/2014 02:55:47 p.m. 11/01/2014 SHAKES paso a nivel 29 gano HP: 5
11/01/2014 02:55:52 p.m. 11/01/2014 SHAKES paso a nivel 30 gano HP: 9
11/01/2014 02:55:52 p.m. 11/01/2014 SHAKES paso a nivel 31 gano HP: 8
11/01/2014 02:55:52 p.m. 11/01/2014 SHAKES paso a nivel 32 gano HP: 5
11/01/2014 02:56:00 p.m. 11/01/2014 SHAKES paso a nivel 33 gano HP: 9
21-07-2019 2:30:58 21-07-2019 LYZ paso a nivel 2 gano HP: 6
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 3 gano HP: 7
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 4 gano HP: 8
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 5 gano HP: 6
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 6 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 7 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 8 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 9 gano HP: 7
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 10 gano HP: 6
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 11 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 12 gano HP: 7
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 13 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 14 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 15 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 16 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 17 gano HP: 8
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 18 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 19 gano HP: 6
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 20 gano HP: 7
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 21 gano HP: 8
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 22 gano HP: 6
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 23 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 24 gano HP: 7
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 25 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 26 gano HP: 8
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 27 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 28 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 29 gano HP: 7
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 30 gano HP: 6
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 31 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 32 gano HP: 5
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 33 gano HP: 8
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 34 gano HP: 4
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 35 gano HP: 8
21-07-2019 2:31:00 21-07-2019 LYZ paso a nivel 36 gano HP: 4
21-07-2019 2:31:01 21-07-2019 LYZ paso a nivel 37 gano HP: 7
21-07-2019 2:31:01 21-07-2019 LYZ paso a nivel 38 gano HP: 8
21-07-2019 2:31:02 21-07-2019 LYZ paso a nivel 39 gano HP: 7
21-07-2019 2:31:02 21-07-2019 LYZ paso a nivel 40 gano HP: 6
21-07-2019 2:31:02 21-07-2019 LYZ paso a nivel 41 gano HP: 5
21-07-2019 2:31:02 21-07-2019 LYZ paso a nivel 42 gano HP: 5
21-07-2019 2:31:03 21-07-2019 LYZ paso a nivel 43 gano HP: 4
21-07-2019 2:31:03 21-07-2019 LYZ paso a nivel 44 gano HP: 6
21-07-2019 2:31:04 21-07-2019 LYZ paso a nivel 45 gano HP: 8
22-07-2019 15:02:23 22-07-2019 RAGNAR paso a nivel 2 gano HP: 8
26-07-2019 23:06:42 26-07-2019 LYZ paso a nivel 1000000 gano HP: 4
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000001 gano HP: 5
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000002 gano HP: 6
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000003 gano HP: 7
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000004 gano HP: 6
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000005 gano HP: 7
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000006 gano HP: 4
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000007 gano HP: 4
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000008 gano HP: 6
26-07-2019 23:06:43 26-07-2019 LYZ paso a nivel 1000009 gano HP: 6
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000010 gano HP: 7
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000011 gano HP: 4
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000012 gano HP: 7
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000013 gano HP: 5
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000014 gano HP: 6
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000015 gano HP: 5
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000016 gano HP: 5
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000017 gano HP: 7
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000018 gano HP: 8
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000019 gano HP: 7
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000020 gano HP: 6
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000021 gano HP: 6
26-07-2019 23:06:44 26-07-2019 LYZ paso a nivel 1000022 gano HP: 6
26-07-2019 23:06:46 26-07-2019 LYZ paso a nivel 1000023 gano HP: 5
26-07-2019 23:06:46 26-07-2019 LYZ paso a nivel 1000024 gano HP: 8
26-07-2019 23:06:46 26-07-2019 LYZ paso a nivel 1000025 gano HP: 7
26-07-2019 23:06:46 26-07-2019 LYZ paso a nivel 1000026 gano HP: 8
26-07-2019 23:06:48 26-07-2019 LYZ paso a nivel 1000027 gano HP: 7
26-07-2019 23:06:48 26-07-2019 LYZ paso a nivel 1000028 gano HP: 6
26-07-2019 23:06:50 26-07-2019 LYZ paso a nivel 1000029 gano HP: 7
26-07-2019 23:06:50 26-07-2019 LYZ paso a nivel 1000030 gano HP: 6
26-07-2019 23:07:00 26-07-2019 LYZ paso a nivel 1000031 gano HP: 4
26-07-2019 23:07:01 26-07-2019 LYZ paso a nivel 1000032 gano HP: 6
26-07-2019 23:07:01 26-07-2019 LYZ paso a nivel 1000033 gano HP: 8
26-07-2019 23:07:01 26-07-2019 LYZ paso a nivel 1000034 gano HP: 8
26-07-2019 23:07:01 26-07-2019 LYZ paso a nivel 1000035 gano HP: 5
30-07-2019 20:50:47 30-07-2019 LYZ paso a nivel 2 gano HP: 6
30-07-2019 20:51:03 30-07-2019 LYZ paso a nivel 3 gano HP: 9
30-07-2019 20:51:15 30-07-2019 LYZ paso a nivel 4 gano HP: 9
